time,x,y,z,yaw,x_des,y_des,z_des,yaw_des
0.30000,0.00000,-3.00000,0.06000,-0.00000,0.00000,0.00000,1.00000,0.00000,
0.34000,0.00000,-3.00000,0.06000,-0.00000,0.00000,0.00000,1.00000,0.00000,
0.37000,0.00000,-2.99997,0.06002,0.00000,0.00000,0.00000,1.00000,0.00000,
0.44000,-0.00000,-2.99978,0.06050,-0.00000,0.00000,0.00000,1.00000,0.00000,
0.47000,-0.00000,-2.99930,0.06260,-0.00005,0.00000,0.00000,1.00000,0.00000,
0.50000,-0.00000,-2.99856,0.06537,-0.00016,0.00000,0.00000,1.00000,0.00000,
0.54000,-0.00001,-2.99383,0.07578,-0.00062,0.00000,0.00000,1.00000,0.00000,
0.60000,-0.00001,-2.98984,0.08178,-0.00080,0.00000,0.00000,1.00000,0.00000,
0.64000,-0.00001,-2.98221,0.09101,-0.00094,0.00000,0.00000,1.00000,0.00000,
0.67000,-0.00002,-2.97464,0.09878,-0.00099,0.00000,0.00000,1.00000,0.00000,
0.70000,-0.00004,-2.95476,0.11633,-0.00107,0.00000,0.00000,1.00000,0.00000,
0.77000,-0.00005,-2.93819,0.12941,-0.00114,0.00000,0.00000,1.00000,0.00000,
0.80000,-0.00007,-2.92418,0.13987,-0.00120,0.00000,0.00000,1.00000,0.00000,
0.84000,-0.00010,-2.90889,0.15083,-0.00125,0.00000,0.00000,1.00000,0.00000,
0.87000,-0.00014,-2.88665,0.16621,-0.00131,0.00000,0.00000,1.00000,0.00000,
0.90000,-0.00018,-2.86864,0.17827,-0.00135,0.00000,0.00000,1.00000,0.00000,
0.94000,-0.00023,-2.84954,0.19076,-0.00138,0.00000,0.00000,1.00000,0.00000,
0.97000,-0.00031,-2.82239,0.20802,-0.00142,0.00000,0.00000,1.00000,0.00000,
1.00000,-0.00039,-2.80081,0.22136,-0.00144,0.00000,0.00000,1.00000,0.00000,
1.04000,-0.00047,-2.77819,0.23501,-0.00147,0.00000,0.00000,1.00000,0.00000,
