time,x,y,z,yaw,x_des,y_des,z_des,yaw_des
0.30000,-2.00000,-1.00000,0.06000,-0.00000,0.00000,0.00000,1.00000,0.00000,
0.34000,-2.00000,-1.00000,0.06000,-0.00000,0.00000,0.00000,1.00000,0.00000,
0.37000,-1.99998,-1.00000,0.06002,-0.00004,0.00000,0.00000,1.00000,0.00000,
0.44000,-1.99981,-0.99991,0.06048,-0.00029,0.00000,0.00000,1.00000,0.00000,
0.47000,-1.99939,-0.99970,0.06258,-0.00082,0.00000,0.00000,1.00000,0.00000,
0.50000,-1.99881,-0.99941,0.06534,-0.00147,0.00000,0.00000,1.00000,0.00000,
0.54000,-1.99603,-0.99801,0.07400,-0.00358,0.00000,0.00000,1.00000,0.00000,
0.60000,-1.99227,-0.99606,0.08190,-0.00509,0.00000,0.00000,1.00000,0.00000,
0.64000,-1.98819,-0.99390,0.08881,-0.00594,0.00000,0.00000,1.00000,0.00000,
0.67000,-1.98089,-0.99000,0.09923,-0.00652,0.00000,0.00000,1.00000,0.00000,
0.70000,-1.96593,-0.98190,0.11722,-0.00651,0.00000,0.00000,1.00000,0.00000,
0.77000,-1.95342,-0.97507,0.13068,-0.00629,0.00000,0.00000,1.00000,0.00000,
0.80000,-1.94281,-0.96925,0.14146,-0.00617,0.00000,0.00000,1.00000,0.00000,
0.84000,-1.93122,-0.96288,0.15280,-0.00611,0.00000,0.00000,1.00000,0.00000,
0.87000,-1.91432,-0.95356,0.16872,-0.00615,0.00000,0.00000,1.00000,0.00000,
0.90000,-1.90527,-0.94856,0.17700,-0.00621,0.00000,0.00000,1.00000,0.00000,
0.94000,-1.88600,-0.93790,0.19415,-0.00640,0.00000,0.00000,1.00000,0.00000,
0.97000,-1.86520,-0.92634,0.21203,-0.00662,0.00000,0.00000,1.00000,0.00000,
1.00000,-1.84860,-0.91708,0.22587,-0.00677,0.00000,0.00000,1.00000,0.00000,
1.04000,-1.83116,-0.90731,0.24005,-0.00689,0.00000,0.00000,1.00000,0.00000,
1.07000,-1.81287,-0.89704,0.25454,-0.00698,0.00000,0.00000,1.00000,0.00000,
1.10000,-1.78722,-0.88255,0.27428,-0.00704,0.00000,0.00000,1.00000,0.00000,
1.14000,-1.76704,-0.87110,0.28936,-0.00705,0.00000,0.00000,1.00000,0.00000,
1.17000,-1.73894,-0.85508,0.30977,-0.00703,0.00000,0.00000,1.00000,0.00000,
1.20000,-1.71699,-0.84250,0.32530,-0.00701,0.00000,0.00000,1.00000,0.00000,
1.24000,-1.69433,-0.82947,0.34097,-0.00700,0.00000,0.00000,1.00000,0.00000,
1.27000,-1.66303,-0.81138,0.36206,-0.00698,0.00000,0.00000,1.00000,0.00000,
1.30000,-1.63877,-0.79729,0.37798,-0.00696,0.00000,0.00000,1.00000,0.00000,
1.34000,-1.61387,-0.78278,0.39395,-0.00692,0.00000,0.00000,1.00000,0.00000,
1.37000,-1.57971,-0.76277,0.41527,-0.00684,0.00000,0.00000,1.00000,0.00000,
1.40000,-1.55339,-0.74728,0.43126,-0.00676,0.00000,0.00000,1.00000,0.00000,
1.44000,-1.52651,-0.73140,0.44725,-0.00667,0.00000,0.00000,1.00000,0.00000,
1.47000,-1.48983,-0.70964,0.46855,-0.00656,0.00000,0.00000,1.00000,0.00000,
1.50000,-1.46173,-0.69290,0.48449,-0.00648,0.00000,0.00000,1.00000,0.00000,
1.54000,-1.39432,-0.65249,0.52146,-0.00626,0.00000,0.00000,1.00000,0.00000,
1.60000,-1.36470,-0.63463,0.53718,-0.00616,0.00000,0.00000,1.00000,0.00000,
1.64000,-1.33467,-0.61646,0.55282,-0.00604,0.00000,0.00000,1.00000,0.00000,
1.67000,-1.29404,-0.59180,0.57351,-0.00588,0.00000,0.00000,1.00000,0.00000,
1.70000,-1.26316,-0.57299,0.58891,-0.00575,0.00000,0.00000,1.00000,0.00000,
1.74000,-1.23195,-0.55393,0.60418,-0.00562,0.00000,0.00000,1.00000,0.00000,
1.77000,-1.18989,-0.52816,0.62433,-0.00542,0.00000,0.00000,1.00000,0.00000,
1.80000,-1.15804,-0.50859,0.63927,-0.00527,0.00000,0.00000,1.00000,0.00000,
1.84000,-1.12595,-0.48883,0.65407,-0.00512,0.00000,0.00000,1.00000,0.00000,
1.87000,-1.08287,-0.46223,0.67356,-0.00493,0.00000,0.00000,1.00000,0.00000,
1.90000,-1.05035,-0.44212,0.68800,-0.00479,0.00000,0.00000,1.00000,0.00000,
1.94000,-0.97398,-0.39480,0.72108,-0.00441,0.00000,0.00000,1.00000,0.00000,
2.00000,-0.94111,-0.37442,0.73499,-0.00420,0.00000,0.00000,1.00000,0.00000,
