time,x,y,z,yaw,x_des,y_des,z_des,yaw_des
0.30000,1.00000,-1.00000,0.06000,0.00000,0.00000,0.00000,1.00000,0.00000,
0.34000,1.00000,-1.00000,0.06000,0.00000,0.00000,0.00000,1.00000,0.00000,
0.37000,1.00000,-1.00000,0.06000,0.00000,0.00000,0.00000,1.00000,0.00000,
0.44000,0.99997,-0.99997,0.06033,0.00001,0.00000,0.00000,1.00000,0.00000,
0.47000,0.99988,-0.99988,0.06217,0.00008,0.00000,0.00000,1.00000,0.00000,
0.50000,0.99970,-0.99970,0.06473,0.00025,0.00000,0.00000,1.00000,0.00000,
0.54000,0.99830,-0.99830,0.07468,0.00105,0.00000,0.00000,1.00000,0.00000,
0.60000,0.99705,-0.99705,0.08056,0.00140,0.00000,0.00000,1.00000,0.00000,
0.64000,0.99530,-0.99531,0.08733,0.00164,0.00000,0.00000,1.00000,0.00000,
0.67000,0.99215,-0.99217,0.09761,0.00176,0.00000,0.00000,1.00000,0.00000,
0.70000,0.98564,-0.98567,0.11562,0.00164,0.00000,0.00000,1.00000,0.00000,
0.77000,0.97870,-0.97874,0.13285,0.00148,0.00000,0.00000,1.00000,0.00000,
0.80000,0.97556,-0.97562,0.14024,0.00143,0.00000,0.00000,1.00000,0.00000,
0.84000,0.97051,-0.97059,0.15184,0.00137,0.00000,0.00000,1.00000,0.00000,
0.87000,0.96314,-0.96326,0.16819,0.00134,0.00000,0.00000,1.00000,0.00000,
0.90000,0.95920,-0.95934,0.17673,0.00134,0.00000,0.00000,1.00000,0.00000,
0.94000,0.95082,-0.95103,0.19449,0.00136,0.00000,0.00000,1.00000,0.00000,
0.97000,0.94179,-0.94208,0.21311,0.00140,0.00000,0.00000,1.00000,0.00000,
1.00000,0.93460,-0.93496,0.22759,0.00143,0.00000,0.00000,1.00000,0.00000,
1.04000,0.92706,-0.92750,0.24249,0.00145,0.00000,0.00000,1.00000,0.00000,
1.07000,0.91647,-0.91703,0.26293,0.00146,0.00000,0.00000,1.00000,0.00000,
1.10000,0.90813,-0.90880,0.27865,0.00146,0.00000,0.00000,1.00000,0.00000,
1.14000,0.89947,-0.90026,0.29468,0.00145,0.00000,0.00000,1.00000,0.00000,
1.17000,0.88744,-0.88841,0.31648,0.00143,0.00000,0.00000,1.00000,0.00000,
1.20000,0.87808,-0.87919,0.33311,0.00141,0.00000,0.00000,1.00000,0.00000,
1.24000,0.86844,-0.86970,0.34996,0.00140,0.00000,0.00000,1.00000,0.00000,
1.27000,0.85518,-0.85667,0.37271,0.00139,0.00000,0.00000,1.00000,0.00000,
1.30000,0.84494,-0.84662,0.38996,0.00138,0.00000,0.00000,1.00000,0.00000,
1.34000,0.83447,-0.83635,0.40734,0.00138,0.00000,0.00000,1.00000,0.00000,
1.37000,0.82017,-0.82233,0.43067,0.00138,0.00000,0.00000,1.00000,0.00000,
1.40000,0.80919,-0.81158,0.44825,0.00138,0.00000,0.00000,1.00000,0.00000,
1.44000,0.79800,-0.80065,0.46588,0.00138,0.00000,0.00000,1.00000,0.00000,
1.47000,0.78278,-0.78581,0.48942,0.00138,0.00000,0.00000,1.00000,0.00000,
1.50000,0.77114,-0.77450,0.50708,0.00138,0.00000,0.00000,1.00000,0.00000,
1.54000,0.74329,-0.74764,0.54819,0.00138,0.00000,0.00000,1.00000,0.00000,
1.60000,0.73107,-0.73596,0.56571,0.00137,0.00000,0.00000,1.00000,0.00000,
1.64000,0.71869,-0.72420,0.58316,0.00136,0.00000,0.00000,1.00000,0.00000,
1.67000,0.70195,-0.70841,0.60625,0.00135,0.00000,0.00000,1.00000,0.00000,
1.70000,0.68925,-0.69648,0.62344,0.00133,0.00000,0.00000,1.00000,0.00000,
1.74000,0.67643,-0.68446,0.64049,0.00130,0.00000,0.00000,1.00000,0.00000,
1.77000,0.65920,-0.66829,0.66299,0.00124,0.00000,0.00000,1.00000,0.00000,
1.80000,0.64621,-0.65600,0.67969,0.00117,0.00000,0.00000,1.00000,0.00000,
1.84000,0.63319,-0.64355,0.69620,0.00108,0.00000,0.00000,1.00000,0.00000,
1.87000,0.61584,-0.62661,0.71793,0.00090,0.00000,0.00000,1.00000,0.00000,
1.90000,0.60288,-0.61359,0.73399,0.00072,0.00000,0.00000,1.00000,0.00000,
1.94000,0.57307,-0.58179,0.77059,-0.00001,0.00000,0.00000,1.00000,0.00000,
2.00000,0.56058,-0.56739,0.78586,-0.00058,0.00000,0.00000,1.00000,0.00000,
2.04000,0.54837,-0.55240,0.80086,-0.00136,0.00000,0.00000,1.00000,0.00000,
2.07000,0.53264,-0.53135,0.82042,-0.00298,0.00000,0.00000,1.00000,0.00000,
2.10000,0.52140,-0.51466,0.83471,-0.00465,0.00000,0.00000,1.00000,0.00000,
2.14000,0.51079,-0.49710,0.84867,-0.00671,0.00000,0.00000,1.00000,0.00000,
2.17000,0.49787,-0.47222,0.86670,-0.00989,0.00000,0.00000,1.00000,0.00000,
2.20000,0.48930,-0.45239,0.87975,-0.01251,0.00000,0.00000,1.00000,0.00000,
2.24000,0.48187,-0.43154,0.89237,-0.01507,0.00000,0.00000,1.00000,0.00000,
2.27000,0.47402,-0.40221,0.90848,-0.01813,0.00000,0.00000,1.00000,0.00000,
2.30000,0.46725,-0.35535,0.93104,-0.02124,0.00000,0.00000,1.00000,0.00000,
2.37000,0.46645,-0.32278,0.94499,-0.02214,0.00000,0.00000,1.00000,0.00000,
2.40000,0.47111,-0.27353,0.96440,-0.02273,0.00000,0.00000,1.00000,0.00000,
2.47000,0.47802,-0.24178,0.97633,-0.02426,0.00000,0.00000,1.00000,0.00000,
2.50000,0.48504,-0.21936,0.98474,-0.02679,0.00000,0.00000,1.00000,0.00000,
2.54000,0.49345,-0.19869,0.99266,-0.03108,0.00000,0.00000,1.00000,0.00000,
2.57000,0.50649,-0.17480,1.00242,-0.03957,0.00000,0.00000,1.00000,0.00000,
