time,x,y,z,yaw,x_des,y_des,z_des,yaw_des
0.30000,-3.00000,-2.00000,0.06000,0.00000,0.00000,0.00000,1.00000,0.00000,
0.34000,-3.00000,-2.00000,0.06000,0.00000,0.00000,0.00000,1.00000,0.00000,
0.37000,-2.99998,-1.99999,0.06003,-0.00004,0.00000,0.00000,1.00000,0.00000,
0.44000,-2.99974,-1.99986,0.06059,-0.00036,0.00000,0.00000,1.00000,0.00000,
0.47000,-2.99918,-1.99956,0.06286,-0.00114,0.00000,0.00000,1.00000,0.00000,
0.50000,-2.99845,-1.99915,0.06576,-0.00216,0.00000,0.00000,1.00000,0.00000,
0.54000,-2.99414,-1.99665,0.07656,-0.00624,0.00000,0.00000,1.00000,0.00000,
0.60000,-2.99056,-1.99451,0.08270,-0.00807,0.00000,0.00000,1.00000,0.00000,
0.64000,-2.98567,-1.99155,0.08962,-0.00944,0.00000,0.00000,1.00000,0.00000,
0.67000,-2.97694,-1.98623,0.09987,-0.01033,0.00000,0.00000,1.00000,0.00000,
0.70000,-2.95909,-1.97523,0.11732,-0.01016,0.00000,0.00000,1.00000,0.00000,
0.77000,-2.94419,-1.96601,0.13029,-0.00974,0.00000,0.00000,1.00000,0.00000,
0.80000,-2.93158,-1.95820,0.14063,-0.00946,0.00000,0.00000,1.00000,0.00000,
0.84000,-2.91782,-1.94967,0.15145,-0.00926,0.00000,0.00000,1.00000,0.00000,
0.87000,-2.89782,-1.93727,0.16661,-0.00917,0.00000,0.00000,1.00000,0.00000,
0.90000,-2.88713,-1.93066,0.17448,-0.00918,0.00000,0.00000,1.00000,0.00000,
0.94000,-2.86447,-1.91664,0.19078,-0.00928,0.00000,0.00000,1.00000,0.00000,
0.97000,-2.84014,-1.90160,0.20778,-0.00940,0.00000,0.00000,1.00000,0.00000,
1.00000,-2.82083,-1.88967,0.22093,-0.00946,0.00000,0.00000,1.00000,0.00000,
1.04000,-2.80065,-1.87721,0.23438,-0.00946,0.00000,0.00000,1.00000,0.00000,
1.07000,-2.77243,-1.85980,0.25273,-0.00938,0.00000,0.00000,1.00000,0.00000,
1.10000,-2.75034,-1.84618,0.26679,-0.00927,0.00000,0.00000,1.00000,0.00000,
1.14000,-2.72750,-1.83210,0.28110,-0.00915,0.00000,0.00000,1.00000,0.00000,
1.17000,-2.69596,-1.81267,0.30053,-0.00900,0.00000,0.00000,1.00000,0.00000,
1.20000,-2.67154,-1.79765,0.31534,-0.00889,0.00000,0.00000,1.00000,0.00000,
1.24000,-2.64651,-1.78228,0.33035,-0.00878,0.00000,0.00000,1.00000,0.00000,
1.27000,-2.61227,-1.76127,0.35061,-0.00866,0.00000,0.00000,1.00000,0.00000,
1.30000,-2.58598,-1.74515,0.36596,-0.00857,0.00000,0.00000,1.00000,0.00000,
1.34000,-2.55920,-1.72877,0.38142,-0.00847,0.00000,0.00000,1.00000,0.00000,
1.37000,-2.52280,-1.70652,0.40217,-0.00833,0.00000,0.00000,1.00000,0.00000,
1.40000,-2.49500,-1.68956,0.41782,-0.00821,0.00000,0.00000,1.00000,0.00000,
1.44000,-2.46683,-1.67239,0.43352,-0.00809,0.00000,0.00000,1.00000,0.00000,
1.47000,-2.42873,-1.64921,0.45453,-0.00794,0.00000,0.00000,1.00000,0.00000,
1.50000,-2.39978,-1.63162,0.47033,-0.00782,0.00000,0.00000,1.00000,0.00000,
1.54000,-2.33116,-1.59001,0.50723,-0.00755,0.00000,0.00000,1.00000,0.00000,
1.60000,-2.30134,-1.57196,0.52301,-0.00742,0.00000,0.00000,1.00000,0.00000,
1.64000,-2.27130,-1.55379,0.53875,-0.00729,0.00000,0.00000,1.00000,0.00000,
1.67000,-2.23095,-1.52942,0.55969,-0.00711,0.00000,0.00000,1.00000,0.00000,
1.70000,-2.20049,-1.51103,0.57534,-0.00698,0.00000,0.00000,1.00000,0.00000,
1.74000,-2.16987,-1.49256,0.59093,-0.00684,0.00000,0.00000,1.00000,0.00000,
1.77000,-2.12884,-1.46781,0.61161,-0.00666,0.00000,0.00000,1.00000,0.00000,
1.80000,-2.09791,-1.44917,0.62700,-0.00652,0.00000,0.00000,1.00000,0.00000,
1.84000,-2.06688,-1.43048,0.64230,-0.00637,0.00000,0.00000,1.00000,0.00000,
1.87000,-2.02536,-1.40546,0.66252,-0.00617,0.00000,0.00000,1.00000,0.00000,
1.90000,-1.99412,-1.38663,0.67755,-0.00602,0.00000,0.00000,1.00000,0.00000,
1.94000,-1.92097,-1.34254,0.71206,-0.00565,0.00000,0.00000,1.00000,0.00000,
2.00000,-1.88955,-1.32358,0.72659,-0.00549,0.00000,0.00000,1.00000,0.00000,
2.04000,-1.85810,-1.30459,0.74095,-0.00532,0.00000,0.00000,1.00000,0.00000,
2.07000,-1.81613,-1.27922,0.75983,-0.00511,0.00000,0.00000,1.00000,0.00000,
2.10000,-1.78465,-1.26017,0.77377,-0.00494,0.00000,0.00000,1.00000,0.00000,
2.14000,-1.75317,-1.24110,0.78751,-0.00478,0.00000,0.00000,1.00000,0.00000,
2.17000,-1.71122,-1.21565,0.80551,-0.00457,0.00000,0.00000,1.00000,0.00000,
2.20000,-1.67978,-1.19655,0.81877,-0.00441,0.00000,0.00000,1.00000,0.00000,
2.24000,-1.64838,-1.17743,0.83181,-0.00424,0.00000,0.00000,1.00000,0.00000,
2.27000,-1.60657,-1.15193,0.84886,-0.00401,0.00000,0.00000,1.00000,0.00000,
2.30000,-1.54409,-1.11363,0.87368,-0.00359,0.00000,0.00000,1.00000,0.00000,
2.37000,-1.50271,-1.08806,0.88972,-0.00324,0.00000,0.00000,1.00000,0.00000,
2.40000,-1.44145,-1.04965,0.91299,-0.00260,0.00000,0.00000,1.00000,0.00000,
2.47000,-1.40149,-1.02403,0.92798,-0.00214,0.00000,0.00000,1.00000,0.00000,
2.50000,-1.37218,-1.00484,0.93895,-0.00179,0.00000,0.00000,1.00000,0.00000,
2.54000,-1.34362,-0.98570,0.94969,-0.00151,0.00000,0.00000,1.00000,0.00000,
2.57000,-1.30703,-0.96035,0.96363,-0.00139,0.00000,0.00000,1.00000,0.00000,
2.60000,-1.28953,-0.94778,0.97045,-0.00146,0.00000,0.00000,1.00000,0.00000,
2.64000,-1.24098,-0.91084,0.99014,-0.00224,0.00000,0.00000,1.00000,0.00000,
2.70000,-1.19951,-0.87547,1.00856,-0.00355,0.00000,0.00000,1.00000,0.00000,
2.77000,-1.16626,-0.84235,1.02563,-0.00495,0.00000,0.00000,1.00000,0.00000,
2.80000,-1.15714,-0.83193,1.03101,-0.00530,0.00000,0.00000,1.00000,0.00000,
2.84000,-1.13579,-0.80285,1.04622,-0.00553,0.00000,0.00000,1.00000,0.00000,
2.90000,-1.12476,-0.78140,1.05781,-0.00407,0.00000,0.00000,1.00000,0.00000,
2.94000,-1.11868,-0.75594,1.07251,0.00030,0.00000,0.00000,1.00000,0.00000,
3.00000,-1.11867,-0.74963,1.07641,0.00193,0.00000,0.00000,1.00000,0.00000,
3.04000,-1.12053,-0.73824,1.08388,0.00529,0.00000,0.00000,1.00000,0.00000,
3.07000,-1.12328,-0.73072,1.08921,0.00785,0.00000,0.00000,1.00000,0.00000,
3.10000,-1.12824,-0.72193,1.09599,0.01086,0.00000,0.00000,1.00000,0.00000,
3.14000,-1.13879,-0.70953,1.10702,0.01459,0.00000,0.00000,1.00000,0.00000,
3.20000,-1.14648,-0.70269,1.11425,0.01615,0.00000,0.00000,1.00000,0.00000,
3.27000,-1.15342,-0.69727,1.12091,0.01704,0.00000,0.00000,1.00000,0.00000,
3.30000,-1.15696,-0.69462,1.12463,0.01729,0.00000,0.00000,1.00000,0.00000,
3.34000,-1.15900,-0.69307,1.12699,0.01736,0.00000,0.00000,1.00000,0.00000,
3.37000,-1.16152,-0.69106,1.13037,0.01730,0.00000,0.00000,1.00000,0.00000,
3.40000,-1.16378,-0.68889,1.13455,0.01696,0.00000,0.00000,1.00000,0.00000,
3.44000,-1.16463,-0.68760,1.13744,0.01657,0.00000,0.00000,1.00000,0.00000,
3.47000,-1.16448,-0.68605,1.14182,0.01576,0.00000,0.00000,1.00000,0.00000,
3.50000,-1.16352,-0.68544,1.14419,0.01524,0.00000,0.00000,1.00000,0.00000,
3.54000,-1.15992,-0.68495,1.14837,0.01416,0.00000,0.00000,1.00000,0.00000,
3.60000,-1.15452,-0.68540,1.15184,0.01303,0.00000,0.00000,1.00000,0.00000,
