time,x,y,z,yaw,x_des,y_des,z_des,yaw_des
2.84000,-0.33896,0.84333,1.04422,0.05012,0.00000,0.00000,1.00000,0.00000,
2.90000,-0.35429,0.86333,1.04879,0.04682,0.00000,0.00000,1.00000,0.00000,
2.94000,-0.37903,0.89403,1.05499,0.04592,0.00000,0.00000,1.00000,0.00000,
3.00000,-0.39546,0.91407,1.05881,0.04760,0.00000,0.00000,1.00000,0.00000,
3.04000,-0.40719,0.92854,1.06152,0.04942,0.00000,0.00000,1.00000,0.00000,
3.07000,-0.41808,0.94238,1.06410,0.05130,0.00000,0.00000,1.00000,0.00000,
3.10000,-0.43090,0.95970,1.06733,0.05326,0.00000,0.00000,1.00000,0.00000,
3.14000,-0.44753,0.98686,1.07244,0.05438,0.00000,0.00000,1.00000,0.00000,
3.20000,-0.45441,1.00408,1.07570,0.05355,0.00000,0.00000,1.00000,0.00000,
3.27000,-0.45708,1.01993,1.07867,0.05205,0.00000,0.00000,1.00000,0.00000,
3.30000,-0.45676,1.02896,1.08032,0.05101,0.00000,0.00000,1.00000,0.00000,
3.34000,-0.45580,1.03484,1.08135,0.05030,0.00000,0.00000,1.00000,0.00000,
3.37000,-0.45331,1.04349,1.08283,0.04926,0.00000,0.00000,1.00000,0.00000,
3.40000,-0.44822,1.05483,1.08466,0.04795,0.00000,0.00000,1.00000,0.00000,
3.44000,-0.44325,1.06326,1.08592,0.04704,0.00000,0.00000,1.00000,0.00000,
3.47000,-0.43321,1.07729,1.08783,0.04568,0.00000,0.00000,1.00000,0.00000,
3.50000,-0.42639,1.08573,1.08887,0.04490,0.00000,0.00000,1.00000,0.00000,
3.54000,-0.41161,1.10274,1.09076,0.04331,0.00000,0.00000,1.00000,0.00000,
3.60000,-0.39612,1.11985,1.09240,0.04159,0.00000,0.00000,1.00000,0.00000,
3.67000,-0.37566,1.14264,1.09423,0.03908,0.00000,0.00000,1.00000,0.00000,
3.74000,-0.36832,1.15111,1.09482,0.03809,0.00000,0.00000,1.00000,0.00000,
3.77000,-0.35895,1.16230,1.09554,0.03674,0.00000,0.00000,1.00000,0.00000,
3.80000,-0.35229,1.17059,1.09603,0.03573,0.00000,0.00000,1.00000,0.00000,
3.84000,-0.34806,1.17607,1.09633,0.03506,0.00000,0.00000,1.00000,0.00000,
3.87000,-0.34009,1.18689,1.09687,0.03372,0.00000,0.00000,1.00000,0.00000,
3.90000,-0.33279,1.19753,1.09735,0.03240,0.00000,0.00000,1.00000,0.00000,
3.94000,-0.32776,1.20540,1.09766,0.03143,0.00000,0.00000,1.00000,0.00000,
3.97000,-0.31874,1.22083,1.09818,0.02951,0.00000,0.00000,1.00000,0.00000,
4.00000,-0.31343,1.23091,1.09845,0.02827,0.00000,0.00000,1.00000,0.00000,
