time,x,y,z,yaw,x_des,y_des,z_des,yaw_des
0.30000,2.00000,2.00000,0.06000,-0.00000,0.00000,0.00000,1.00000,0.00000,
0.34000,2.00000,2.00000,0.06000,-0.00000,0.00000,0.00000,1.00000,0.00000,
0.37000,1.99999,1.99999,0.06002,-0.00000,0.00000,0.00000,1.00000,0.00000,
0.44000,1.99982,1.99982,0.06053,-0.00003,0.00000,0.00000,1.00000,0.00000,
0.47000,1.99943,1.99944,0.06271,-0.00029,0.00000,0.00000,1.00000,0.00000,
0.50000,1.99892,1.99893,0.06555,-0.00093,0.00000,0.00000,1.00000,0.00000,
0.54000,1.99585,1.99586,0.07621,-0.00402,0.00000,0.00000,1.00000,0.00000,
0.60000,1.99328,1.99329,0.08234,-0.00543,0.00000,0.00000,1.00000,0.00000,
0.64000,1.98975,1.98976,0.08924,-0.00644,0.00000,0.00000,1.00000,0.00000,
0.67000,1.98343,1.98345,0.09953,-0.00701,0.00000,0.00000,1.00000,0.00000,
0.70000,1.97043,1.97046,0.11723,-0.00663,0.00000,0.00000,1.00000,0.00000,
0.77000,1.95954,1.95958,0.13045,-0.00613,0.00000,0.00000,1.00000,0.00000,
0.80000,1.95030,1.95037,0.14102,-0.00580,0.00000,0.00000,1.00000,0.00000,
0.84000,1.94020,1.94030,0.15209,-0.00556,0.00000,0.00000,1.00000,0.00000,
0.87000,1.92549,1.92564,0.16764,-0.00540,0.00000,0.00000,1.00000,0.00000,
0.90000,1.91762,1.91780,0.17572,-0.00538,0.00000,0.00000,1.00000,0.00000,
0.94000,1.90090,1.90115,0.19248,-0.00544,0.00000,0.00000,1.00000,0.00000,
0.97000,1.88290,1.88321,0.20997,-0.00555,0.00000,0.00000,1.00000,0.00000,
1.00000,1.86857,1.86894,0.22350,-0.00562,0.00000,0.00000,1.00000,0.00000,
1.04000,1.85356,1.85397,0.23735,-0.00566,0.00000,0.00000,1.00000,0.00000,
1.07000,1.83251,1.83296,0.25627,-0.00565,0.00000,0.00000,1.00000,0.00000,
1.10000,1.81031,1.81078,0.27565,-0.00558,0.00000,0.00000,1.00000,0.00000,
1.14000,1.79880,1.79927,0.28551,-0.00554,0.00000,0.00000,1.00000,0.00000,
1.17000,1.77500,1.77546,0.30548,-0.00543,0.00000,0.00000,1.00000,0.00000,
1.20000,1.75651,1.75693,0.32065,-0.00534,0.00000,0.00000,1.00000,0.00000,
1.24000,1.73749,1.73787,0.33597,-0.00525,0.00000,0.00000,1.00000,0.00000,
1.27000,1.71136,1.71166,0.35661,-0.00516,0.00000,0.00000,1.00000,0.00000,
1.30000,1.69123,1.69144,0.37221,-0.00510,0.00000,0.00000,1.00000,0.00000,
1.34000,1.67066,1.67077,0.38791,-0.00505,0.00000,0.00000,1.00000,0.00000,
1.37000,1.64260,1.64254,0.40896,-0.00500,0.00000,0.00000,1.00000,0.00000,
1.40000,1.62109,1.62089,0.42482,-0.00497,0.00000,0.00000,1.00000,0.00000,
1.44000,1.59922,1.59884,0.44072,-0.00494,0.00000,0.00000,1.00000,0.00000,
1.47000,1.56950,1.56887,0.46198,-0.00489,0.00000,0.00000,1.00000,0.00000,
1.50000,1.54682,1.54597,0.47793,-0.00484,0.00000,0.00000,1.00000,0.00000,
1.54000,1.49271,1.49126,0.51508,-0.00468,0.00000,0.00000,1.00000,0.00000,
1.60000,1.46906,1.46731,0.53093,-0.00460,0.00000,0.00000,1.00000,0.00000,
1.64000,1.44515,1.44308,0.54672,-0.00451,0.00000,0.00000,1.00000,0.00000,
1.67000,1.40481,1.40215,0.57286,-0.00436,0.00000,0.00000,1.00000,0.00000,
1.70000,1.38852,1.38560,0.58326,-0.00430,0.00000,0.00000,1.00000,0.00000,
1.74000,1.36392,1.36061,0.59876,-0.00422,0.00000,0.00000,1.00000,0.00000,
1.77000,1.33088,1.32700,0.61927,-0.00411,0.00000,0.00000,1.00000,0.00000,
1.80000,1.30593,1.30159,0.63450,-0.00402,0.00000,0.00000,1.00000,0.00000,
1.84000,1.28085,1.27604,0.64960,-0.00393,0.00000,0.00000,1.00000,0.00000,
1.87000,1.24726,1.24177,0.66953,-0.00381,0.00000,0.00000,1.00000,0.00000,
1.90000,1.22195,1.21593,0.68431,-0.00373,0.00000,0.00000,1.00000,0.00000,
1.94000,1.16265,1.15530,0.71819,-0.00353,0.00000,0.00000,1.00000,0.00000,
2.00000,1.13714,1.12920,0.73243,-0.00344,0.00000,0.00000,1.00000,0.00000,
2.04000,1.10309,1.09432,0.75115,-0.00333,0.00000,0.00000,1.00000,0.00000,
2.07000,1.07753,1.06812,0.76499,-0.00322,0.00000,0.00000,1.00000,0.00000,
2.10000,1.05196,1.04190,0.77863,-0.00309,0.00000,0.00000,1.00000,0.00000,
2.14000,1.02642,1.01568,0.79208,-0.00296,0.00000,0.00000,1.00000,0.00000,
2.17000,0.99246,0.98074,0.80972,-0.00276,0.00000,0.00000,1.00000,0.00000,
2.20000,0.96712,0.95459,0.82273,-0.00261,0.00000,0.00000,1.00000,0.00000,
2.24000,0.94197,0.92851,0.83554,-0.00248,0.00000,0.00000,1.00000,0.00000,
2.27000,0.90888,0.89396,0.85233,-0.00244,0.00000,0.00000,1.00000,0.00000,
2.30000,0.86075,0.84297,0.87691,-0.00323,0.00000,0.00000,1.00000,0.00000,
2.37000,0.83026,0.80999,0.89288,-0.00486,0.00000,0.00000,1.00000,0.00000,
2.40000,0.78813,0.76306,0.91612,-0.01025,0.00000,0.00000,1.00000,0.00000,
2.47000,0.77532,0.74835,0.92364,-0.01296,0.00000,0.00000,1.00000,0.00000,
2.50000,0.74673,0.71435,0.94180,-0.02221,0.00000,0.00000,1.00000,0.00000,
2.54000,0.73230,0.69624,0.95214,-0.02927,0.00000,0.00000,1.00000,0.00000,
2.57000,0.71678,0.67535,0.96513,-0.03960,0.00000,0.00000,1.00000,0.00000,
2.60000,0.70820,0.66243,0.97411,-0.04660,0.00000,0.00000,1.00000,0.00000,
2.64000,0.69929,0.64238,0.99203,-0.05627,0.00000,0.00000,1.00000,0.00000,
2.70000,0.70443,0.63679,1.00375,-0.05322,0.00000,0.00000,1.00000,0.00000,
2.77000,0.71411,0.63866,1.00980,-0.04486,0.00000,0.00000,1.00000,0.00000,
2.80000,0.72064,0.64110,1.01235,-0.03935,0.00000,0.00000,1.00000,0.00000,
2.84000,0.75582,0.65901,1.02057,-0.01917,0.00000,0.00000,1.00000,0.00000,
2.90000,0.77169,0.66828,1.02304,-0.01389,0.00000,0.00000,1.00000,0.00000,
2.94000,0.80552,0.68939,1.02732,-0.00768,0.00000,0.00000,1.00000,0.00000,
3.00000,0.82839,0.70457,1.02984,-0.00643,0.00000,0.00000,1.00000,0.00000,
3.04000,0.84516,0.71615,1.03160,-0.00655,0.00000,0.00000,1.00000,0.00000,
3.07000,0.86127,0.72771,1.03327,-0.00726,0.00000,0.00000,1.00000,0.00000,
3.10000,0.88135,0.74279,1.03543,-0.00864,0.00000,0.00000,1.00000,0.00000,
3.14000,0.91157,0.76753,1.03901,-0.01087,0.00000,0.00000,1.00000,0.00000,
3.20000,0.92886,0.78355,1.04148,-0.01163,0.00000,0.00000,1.00000,0.00000,
3.27000,0.94254,0.79817,1.04397,-0.01181,0.00000,0.00000,1.00000,0.00000,
3.30000,0.94914,0.80635,1.04548,-0.01179,0.00000,0.00000,1.00000,0.00000,
3.34000,0.95292,0.81160,1.04651,-0.01175,0.00000,0.00000,1.00000,0.00000,
3.37000,0.95913,0.82172,1.04858,-0.01170,0.00000,0.00000,1.00000,0.00000,
3.40000,0.96380,0.83151,1.05069,-0.01181,0.00000,0.00000,1.00000,0.00000,
3.44000,0.96565,0.83637,1.05177,-0.01194,0.00000,0.00000,1.00000,0.00000,
